scenario,scenario_label,target,stage,model,metric,train_mean,cv_mean,cv_std,gap,n_features,best_params
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest_balanced,f1,1.0,0.6953892290686696,0.019082104043302118,0.3046107709313304,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest_balanced,f2,1.0,0.6522850172780622,0.03259590059042918,0.3477149827219378,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest_balanced,roc_auc,1.0,0.8660169136669215,0.007777424235794299,0.13398308633307854,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,hist_gradient_boosting,accuracy,0.9659237847649098,0.8171879722757829,0.007893468009024927,0.14873581248912693,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,hist_gradient_boosting,precision,0.9741270864129683,0.7591477243834224,0.014460464550343848,0.21497936202954593,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,hist_gradient_boosting,recall,0.9182570083120002,0.631749657377798,0.040533530679082004,0.2865073509342022,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,hist_gradient_boosting,f1,0.9453567158581777,0.688666009840972,0.022364932615417114,0.25669070601720567,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,hist_gradient_boosting,f2,0.9289059396368782,0.6531725626565811,0.033870153342901624,0.2757333769802971,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,hist_gradient_boosting,roc_auc,0.996656676974417,0.858502896552527,0.011310899247974694,0.13815378042188997,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,tuned,dummy_prior,accuracy,0.6789405666216428,0.6789405388503831,0.0006273622935212724,2.7771259736297793e-08,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,tuned,dummy_prior,precision,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,tuned,dummy_prior,recall,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,tuned,dummy_prior,f1,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,tuned,dummy_prior,f2,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,tuned,dummy_prior,roc_auc,0.5,0.5,0.0,0.0,22,{}
